Fruit,Alternative Product,Market,Shop,Location,Profitability Score,Quality Rating
Mango,Fruit Salsa,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,C
Pear,Frozen Dessert,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.6,C
Rambutan,Jam,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.2,A
Coconut,Canned Fruit Cocktail,Matara Market,Matara Fruit Bazaar,Matara,8.0,A
Pomegranate,Flavored Yogurt,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,B
Peach,Flavored Yogurt,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.8,A
Avocado,Nectar,Badulla Market,Hill Country Fresh,Badulla,7.7,B
Jackfruit,Canned Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,B
Pineapple,Fruit Extract,Puttalam Market,Northwest Fruits,Puttalam,7.7,B
Plum,Jam,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,C
Watermelon,Freeze-Dried Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,C
Blueberry,Fruit Topping,Kandy Central Market,Highland Fruit Mart,Kandy,9.9,A
Ambarella,Syrup,Matara Market,Matara Fruit Bazaar,Matara,9.3,A
Lemon,Smoothie Mix,Badulla Market,Hill Country Fresh,Badulla,8.4,A
Lychee,Essential Oil,Puttalam Market,Northwest Fruits,Puttalam,8.6,C
Orange,Dried Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.1,B
Plum,Freeze-Dried Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,C
Rambutan,Flavored Yogurt,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.3,C
Custard Apple,Canned Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,8.2,C
Peach,Fruit Salsa,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.7,A
Jackfruit,Chutney,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.8,A
Jackfruit,Fruit Leather,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.7,A
Durian,Jam,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.1,A
Rambutan,Fruit Extract,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.5,C
Peach,Dried Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,8.1,A
Pineapple,Canned Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,C
Coconut,Pulp,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.9,C
Coconut,Compote,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.4,C
Lemon,Fruit Extract,Ratnapura Market,Gemland Fruits,Ratnapura,7.8,B
Jackfruit,Canned Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,9.6,A
Beli,Fruit Puree,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Woodapple,Frozen Dessert,Puttalam Market,Northwest Fruits,Puttalam,9.0,C
Lychee,Jelly,Puttalam Market,Northwest Fruits,Puttalam,9.0,B
Banana,Jelly,Jaffna Market,Northern Fresh Fruits,Jaffna,7.8,A
Strawberry,Fruit Topping,Badulla Market,Hill Country Fresh,Badulla,10.0,A
Banana,Powdered Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.6,B
Coconut,Fruit Butter,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.2,B
Mangosteen,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.5,A
Kiwi,Juice,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.7,A
Custard Apple,Preserves,Puttalam Market,Northwest Fruits,Puttalam,8.9,B
Jackfruit,Fruit Topping,Kandy Central Market,Highland Fruit Mart,Kandy,9.2,B
Kiwi,Fruit-Flavored Tea,Badulla Market,Hill Country Fresh,Badulla,9.7,B
Strawberry,Frozen Dessert,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.4,B
Watermelon,Fruit Concentrate,Ratnapura Market,Gemland Fruits,Ratnapura,8.3,B
Apple,Juice,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.7,A
Peach,Pickles,Ratnapura Market,Gemland Fruits,Ratnapura,9.6,C
Soursop,Freeze-Dried Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,9.6,C
Plum,Pulp,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.5,B
Lemon,Fruit Topping,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,B
Mangosteen,Sauce,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.3,A
Blueberry,Preserves,Ratnapura Market,Gemland Fruits,Ratnapura,9.7,A
Pineapple,Jelly,Ratnapura Market,Gemland Fruits,Ratnapura,9.3,B
Apple,Fruit Salsa,Matara Market,Matara Fruit Bazaar,Matara,7.7,C
Watermelon,Fruit Snacks,Galle Fruit Market,Southern Agro Supplies,Galle,9.0,C
Cherry,Fruit Candy,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.0,A
Durian,Fruit Topping,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,B
Apple,Fruit Butter,Ratnapura Market,Gemland Fruits,Ratnapura,9.6,B
Beli,Fruit Snacks,Ratnapura Market,Gemland Fruits,Ratnapura,9.2,B
Rambutan,Fruit Extract,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,A
Kiwi,Wine,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,B
Blueberry,Essential Oil,Galle Fruit Market,Southern Agro Supplies,Galle,8.3,B
Watermelon,Smoothie Mix,Galle Fruit Market,Southern Agro Supplies,Galle,7.7,A
Lemon,Fruit Salsa,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,A
Rambutan,Compote,Matara Market,Matara Fruit Bazaar,Matara,8.5,A
Mangosteen,Chutney,Kandy Central Market,Highland Fruit Mart,Kandy,9.0,A
Peach,Fermented Drink,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,A
Guava,Fruit Salad Mix,Puttalam Market,Northwest Fruits,Puttalam,7.6,C
Plum,Chutney,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.8,A
Jackfruit,Fruit Snacks,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,A
Kiwi,Dried Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,8.0,C
Jackfruit,Pulp,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.0,A
Mangosteen,Fruit-Infused Water,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.0,C
Watermelon,Jam,Galle Fruit Market,Southern Agro Supplies,Galle,8.4,B
Orange,Fruit Vinegar,Ratnapura Market,Gemland Fruits,Ratnapura,9.0,B
Papaya,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.6,B
Blueberry,Fruit-Flavored Tea,Galle Fruit Market,Southern Agro Supplies,Galle,9.6,A
Pineapple,Fruit Butter,Jaffna Market,Northern Fresh Fruits,Jaffna,8.1,B
Strawberry,Fruit Salad Mix,Puttalam Market,Northwest Fruits,Puttalam,9.9,B
Watermelon,Fruit Candy,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,C
Banana,Jam,Jaffna Market,Northern Fresh Fruits,Jaffna,8.8,A
Coconut,Sauce,Matara Market,Matara Fruit Bazaar,Matara,9.0,B
Avocado,Freeze-Dried Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,B
Cherry,Fruit Topping,Galle Fruit Market,Southern Agro Supplies,Galle,7.7,B
Mangosteen,Preserves,Matara Market,Matara Fruit Bazaar,Matara,7.8,B
Plum,Fruit Salad Mix,Puttalam Market,Northwest Fruits,Puttalam,7.7,B
Soursop,Fruit Pizza,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,B
Durian,Nectar,Jaffna Market,Northern Fresh Fruits,Jaffna,9.8,A
Pear,Sauce,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,A
Guava,Pickles,Galle Fruit Market,Southern Agro Supplies,Galle,8.1,C
Plum,Juice,Badulla Market,Hill Country Fresh,Badulla,7.8,A
Watermelon,Fruit Butter,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.6,C
Blueberry,Fermented Drink,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,C
Custard Apple,Fruit-Based Dietary Supplements,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,C
Orange,Chutney,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,B
Plum,Vinegar,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,A
Ambarella,Chutney,Badulla Market,Hill Country Fresh,Badulla,9.2,C
Strawberry,Fruit-Filled Pastries,Matara Market,Matara Fruit Bazaar,Matara,9.8,C
Watermelon,Fruit-Based Dietary Supplements,Puttalam Market,Northwest Fruits,Puttalam,9.7,C
Coconut,Fruit Bars,Ratnapura Market,Gemland Fruits,Ratnapura,7.8,B
Mangosteen,Marmalade,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.7,A
Beli,Fruit Chips,Badulla Market,Hill Country Fresh,Badulla,7.8,C
Pomegranate,Powdered Fruit,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Lemon,Smoothie Mix,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.9,C
Blueberry,Smoothie Mix,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,A
Papaya,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,7.5,C
Plum,Fruit Chips,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.0,B
Banana,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,8.1,B
Ambarella,Fruit Leather,Kandy Central Market,Highland Fruit Mart,Kandy,9.6,A
Kiwi,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.4,B
Mango,Freeze-Dried Fruit,Matara Market,Matara Fruit Bazaar,Matara,8.0,B
Rambutan,Jelly,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,B
Mango,Jam,Puttalam Market,Northwest Fruits,Puttalam,7.6,C
Blueberry,Jam,Trincomalee Market,Eastern Fresh Produce,Trincomalee,10.0,A
Jackfruit,Marmalade,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.6,B
Lemon,Pulp,Kandy Central Market,Highland Fruit Mart,Kandy,8.2,C
Durian,Fruit Butter,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.0,C
Pomegranate,Freeze-Dried Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.2,C
Lemon,Vinegar,Galle Fruit Market,Southern Agro Supplies,Galle,7.5,A
Watermelon,Vinegar,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.9,A
Custard Apple,Nectar,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,C
Watermelon,Fruit-Infused Water,Kandy Central Market,Highland Fruit Mart,Kandy,8.7,A
Pineapple,Preserves,Galle Fruit Market,Southern Agro Supplies,Galle,7.9,A
Ambarella,Preserves,Ratnapura Market,Gemland Fruits,Ratnapura,7.5,A
Lemon,Marmalade,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,B
Blueberry,Fruit-Filled Pastries,Kandy Central Market,Highland Fruit Mart,Kandy,10.0,A
Pomegranate,Canned Fruit Cocktail,Badulla Market,Hill Country Fresh,Badulla,9.4,B
Coconut,Preserves,Galle Fruit Market,Southern Agro Supplies,Galle,9.5,C
Pear,Smoothie Mix,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,A
Orange,Pulp,Ratnapura Market,Gemland Fruits,Ratnapura,7.7,C
Plum,Juice,Jaffna Market,Northern Fresh Fruits,Jaffna,8.7,A
Coconut,Wine,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.3,C
Avocado,Smoothie Mix,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,C
Beli,Fruit-Filled Pastries,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.8,B
Pear,Essential Oil,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,10.0,A
Ambarella,Fruit Topping,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.1,B
Lemon,Jelly,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,C
Pineapple,Fruit Snacks,Jaffna Market,Northern Fresh Fruits,Jaffna,9.0,A
Coconut,Fruit Butter,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.7,B
Peach,Vinegar,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.9,C
Pineapple,Powdered Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.7,B
Mango,Jelly,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Papaya,Fruit Vinegar,Jaffna Market,Northern Fresh Fruits,Jaffna,9.9,B
Lemon,Nectar,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.5,B
Banana,Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.0,A
Mangosteen,Fruit Snacks,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,B
Avocado,Preserves,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.7,C
Avocado,Sauce,Puttalam Market,Northwest Fruits,Puttalam,8.3,B
Coconut,Powdered Fruit,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.4,A
Coconut,Canned Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,8.5,C
Peach,Juice,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.8,C
Durian,Sauce,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.2,B
Watermelon,Fermented Drink,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,C
Soursop,Chutney,Badulla Market,Hill Country Fresh,Badulla,8.6,C
Mangosteen,Juice,Matara Market,Matara Fruit Bazaar,Matara,7.5,A
Pomegranate,Chutney,Ratnapura Market,Gemland Fruits,Ratnapura,7.6,A
Jackfruit,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,B
Peach,Jelly,Galle Fruit Market,Southern Agro Supplies,Galle,8.3,B
Grapes,Fruit Snacks,Jaffna Market,Northern Fresh Fruits,Jaffna,8.7,B
Woodapple,Syrup,Matara Market,Matara Fruit Bazaar,Matara,9.0,A
Coconut,Syrup,Kandy Central Market,Highland Fruit Mart,Kandy,8.2,A
Peach,Flavored Yogurt,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.3,C
Kiwi,Preserves,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.3,A
Pear,Fruit Bars,Galle Fruit Market,Southern Agro Supplies,Galle,9.5,C
Avocado,Fruit Vinegar,Matara Market,Matara Fruit Bazaar,Matara,9.8,B
Pomegranate,Fruit-Flavored Tea,Jaffna Market,Northern Fresh Fruits,Jaffna,9.5,A
Banana,Fruit Candy,Kandy Central Market,Highland Fruit Mart,Kandy,9.6,B
Durian,Smoothie Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,C
Custard Apple,Fruit Pizza,Puttalam Market,Northwest Fruits,Puttalam,8.1,B
Lemon,Jam,Matara Market,Matara Fruit Bazaar,Matara,8.4,A
Strawberry,Nectar,Kandy Central Market,Highland Fruit Mart,Kandy,8.8,C
Pear,Syrup,Galle Fruit Market,Southern Agro Supplies,Galle,9.9,B
Cherry,Jam,Badulla Market,Hill Country Fresh,Badulla,7.7,A
Pineapple,Canned Fruit Cocktail,Ratnapura Market,Gemland Fruits,Ratnapura,8.9,A
Pineapple,Fruit Candy,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.2,C
Avocado,Compote,Matara Market,Matara Fruit Bazaar,Matara,9.0,A
Kiwi,Fruit Concentrate,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.1,B
Mangosteen,Fruit-Infused Water,Badulla Market,Hill Country Fresh,Badulla,9.1,C
Lemon,Canned Fruit Cocktail,Ratnapura Market,Gemland Fruits,Ratnapura,9.8,A
Soursop,Sauce,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.4,A
Avocado,Fruit Salad Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.4,B
Strawberry,Fruit Puree,Badulla Market,Hill Country Fresh,Badulla,7.5,C
Peach,Fruit Salsa,Jaffna Market,Northern Fresh Fruits,Jaffna,9.6,C
Custard Apple,Juice,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,A
Banana,Preserves,Matara Market,Matara Fruit Bazaar,Matara,7.8,B
Mango,Wine,Puttalam Market,Northwest Fruits,Puttalam,8.2,C
Kiwi,Nectar,Jaffna Market,Northern Fresh Fruits,Jaffna,9.4,A
Guava,Fruit-Based Dietary Supplements,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,C
Papaya,Fruit Leather,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,A
Pomegranate,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.3,B
Orange,Marmalade,Jaffna Market,Northern Fresh Fruits,Jaffna,8.0,C
Jackfruit,Fruit Butter,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.1,A
Orange,Preserves,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.8,A
Woodapple,Fruit Leather,Puttalam Market,Northwest Fruits,Puttalam,8.4,C
Cherry,Compote,Ratnapura Market,Gemland Fruits,Ratnapura,8.0,B
Durian,Fruit Salad Mix,Badulla Market,Hill Country Fresh,Badulla,7.9,B
Apple,Canned Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,C
Rambutan,Fruit Chips,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.6,B
Blueberry,Pickles,Ratnapura Market,Gemland Fruits,Ratnapura,9.3,A
Lemon,Flavored Yogurt,Badulla Market,Hill Country Fresh,Badulla,8.5,C
Avocado,Pulp,Badulla Market,Hill Country Fresh,Badulla,7.9,C
Custard Apple,Jelly,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,C
Pear,Pickles,Ratnapura Market,Gemland Fruits,Ratnapura,9.3,C
Apple,Fruit-Filled Pastries,Badulla Market,Hill Country Fresh,Badulla,8.7,A
Coconut,Fruit Extract,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.5,A
Guava,Fruit Snacks,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.8,A
Guava,Fruit Bars,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.7,C
Guava,Preserves,Ratnapura Market,Gemland Fruits,Ratnapura,8.0,C
Cherry,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.1,B
Cherry,Frozen Dessert,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.6,C
Mangosteen,Fruit Topping,Ratnapura Market,Gemland Fruits,Ratnapura,9.5,C
Plum,Fruit-Infused Water,Kandy Central Market,Highland Fruit Mart,Kandy,9.0,A
Custard Apple,Fruit Topping,Galle Fruit Market,Southern Agro Supplies,Galle,8.7,B
Soursop,Fruit Pizza,Jaffna Market,Northern Fresh Fruits,Jaffna,8.7,A
Plum,Jelly,Matara Market,Matara Fruit Bazaar,Matara,9.9,B
Soursop,Fruit Topping,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.4,A
Coconut,Marmalade,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.5,A
Avocado,Fruit Extract,Galle Fruit Market,Southern Agro Supplies,Galle,8.9,B
Papaya,Fruit Extract,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.1,B
Woodapple,Fruit Salsa,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.2,B
Watermelon,Flavored Yogurt,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.7,A
Custard Apple,Fruit-Infused Water,Matara Market,Matara Fruit Bazaar,Matara,8.0,B
Woodapple,Fruit Leather,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.1,A
Lychee,Flavored Yogurt,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,C
Orange,Wine,Galle Fruit Market,Southern Agro Supplies,Galle,9.5,C
Beli,Fruit Salad Mix,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.9,A
Peach,Smoothie Mix,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,A
Pomegranate,Fruit Extract,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.6,A
Blueberry,Preserves,Kandy Central Market,Highland Fruit Mart,Kandy,7.8,B
Banana,Fruit-Flavored Tea,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.2,A
Mango,Flavored Yogurt,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,C
Mangosteen,Fruit Snacks,Galle Fruit Market,Southern Agro Supplies,Galle,9.2,B
Plum,Fruit Concentrate,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.0,C
Kiwi,Compote,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.9,A
Grapes,Fruit Concentrate,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.5,C
Watermelon,Fermented Drink,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.6,C
Coconut,Nectar,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.5,A
Durian,Chutney,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.2,A
Mangosteen,Pulp,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.3,C
Blueberry,Canned Fruit Cocktail,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.6,A
Coconut,Fruit-Flavored Tea,Puttalam Market,Northwest Fruits,Puttalam,9.7,C
Mango,Compote,Badulla Market,Hill Country Fresh,Badulla,9.0,A
Grapes,Fruit Salsa,Puttalam Market,Northwest Fruits,Puttalam,9.7,A
Pear,Fruit Concentrate,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.0,C
Guava,Vinegar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.1,A
Mango,Juice,Matara Market,Matara Fruit Bazaar,Matara,8.5,A
Cherry,Essential Oil,Ratnapura Market,Gemland Fruits,Ratnapura,7.9,A
Coconut,Sauce,Ratnapura Market,Gemland Fruits,Ratnapura,7.5,B
Avocado,Nectar,Badulla Market,Hill Country Fresh,Badulla,7.8,C
Grapes,Smoothie Mix,Galle Fruit Market,Southern Agro Supplies,Galle,7.7,B
Orange,Fruit-Infused Water,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,A
Durian,Essential Oil,Galle Fruit Market,Southern Agro Supplies,Galle,8.1,A
Apple,Fruit Candy,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.1,B
Guava,Pickles,Kandy Central Market,Highland Fruit Mart,Kandy,9.3,C
Pineapple,Wine,Matara Market,Matara Fruit Bazaar,Matara,8.7,A
Avocado,Compote,Badulla Market,Hill Country Fresh,Badulla,8.0,A
Apple,Freeze-Dried Fruit,Galle Fruit Market,Southern Agro Supplies,Galle,8.5,B
Kiwi,Fruit-Based Dietary Supplements,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.1,C
Coconut,Fruit Concentrate,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,B
Kiwi,Syrup,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,B
Orange,Fruit Concentrate,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.1,A
Blueberry,Fruit Salsa,Badulla Market,Hill Country Fresh,Badulla,8.3,B
Strawberry,Fruit Salad Mix,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,B
Ambarella,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.4,C
Watermelon,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.6,A
Strawberry,Vinegar,Kandy Central Market,Highland Fruit Mart,Kandy,8.4,B
Cherry,Fruit Candy,Kandy Central Market,Highland Fruit Mart,Kandy,8.4,A
Rambutan,Frozen Dessert,Puttalam Market,Northwest Fruits,Puttalam,9.8,A
Plum,Marmalade,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.0,B
Pear,Fruit-Flavored Tea,Ratnapura Market,Gemland Fruits,Ratnapura,8.6,C
Avocado,Fermented Drink,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,A
Watermelon,Canned Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.4,C
Durian,Juice,Galle Fruit Market,Southern Agro Supplies,Galle,9.1,A
Pineapple,Frozen Dessert,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.6,B
Custard Apple,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.1,B
Pineapple,Jam,Ratnapura Market,Gemland Fruits,Ratnapura,9.1,C
Soursop,Canned Fruit Cocktail,Kandy Central Market,Highland Fruit Mart,Kandy,9.8,B
Blueberry,Fruit Puree,Badulla Market,Hill Country Fresh,Badulla,9.0,B
Cherry,Syrup,Ratnapura Market,Gemland Fruits,Ratnapura,7.6,A
Lemon,Jelly,Puttalam Market,Northwest Fruits,Puttalam,7.7,B
Lychee,Canned Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,9.1,A
Guava,Canned Fruit Cocktail,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.7,B
Peach,Sauce,Puttalam Market,Northwest Fruits,Puttalam,8.1,C
Lychee,Preserves,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.0,B
Soursop,Jam,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.0,C
Rambutan,Smoothie Mix,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,A
Lemon,Jam,Jaffna Market,Northern Fresh Fruits,Jaffna,9.5,A
Kiwi,Fruit Bars,Kandy Central Market,Highland Fruit Mart,Kandy,8.7,B
Orange,Fruit Leather,Matara Market,Matara Fruit Bazaar,Matara,8.5,A
Durian,Jam,Badulla Market,Hill Country Fresh,Badulla,9.5,C
Ambarella,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.5,A
Banana,Flavored Yogurt,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,C
Orange,Essential Oil,Jaffna Market,Northern Fresh Fruits,Jaffna,9.3,B
Pear,Pulp,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.4,A
Grapes,Frozen Dessert,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,B
Lychee,Freeze-Dried Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.6,C
Kiwi,Sauce,Badulla Market,Hill Country Fresh,Badulla,9.7,B
Peach,Juice,Kandy Central Market,Highland Fruit Mart,Kandy,9.7,B
Mangosteen,Fruit Butter,Matara Market,Matara Fruit Bazaar,Matara,9.9,B
Lychee,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.8,B
Orange,Fruit Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.9,C
Pineapple,Fruit Salsa,Badulla Market,Hill Country Fresh,Badulla,8.0,B
Soursop,Fruit Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,C
Durian,Fruit Candy,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.9,C
Apple,Preserves,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,B
Jackfruit,Canned Fruit Cocktail,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.6,C
Woodapple,Dried Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,9.4,C
Coconut,Fruit Leather,Jaffna Market,Northern Fresh Fruits,Jaffna,8.2,C
Plum,Jam,Puttalam Market,Northwest Fruits,Puttalam,7.6,B
Peach,Fruit Candy,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.2,C
